,asr_transcript,uniqueId
0,Activate all life and needs her house ,sample0000-0000
1,Activate basement lights ,sample0001-0001
2,I just the beggar blight intensity a thirty nine ,sample0002-0010
3,Can you please changed the light coloured to thing ,sample0003-0100
4,Said the mate mystifying ,sample0004-1000
5,Said the brightness to twelve ,sample0005-1001
6,Said the brightness to twenty ,sample0006-1002
7,Said the lifeless with languid movies ,sample0007-1003
8,Said the selected shoe ,sample0008-1004
9,Said the cellar light to twelve ,sample0009-1005
10,Said the cellar lights to too ,sample0010-1006
11,Said dame that apartment like to do ,sample0011-1007
12,Said the entrance gliding intensity to twelve ,sample0012-1008
13,Since he entered right you are brightest setting ,sample0013-1009
14,Can you please lower the lights for me ,sample0014-0101
15,Said the fastened it is lights through thirty nine ,sample0015-1010
16,Said the garden brightness to local twelve ,sample0016-1011
17,Sat the hallway lights to pink please ,sample0017-1012
18,Said the intensity of the toilet leaning to too ,sample0018-1013
19,Said the kid's bedroom lights to five ,sample0019-1014
20,Said the larger in lying to ten per cent ,sample0020-1015
21,Said the late greatness level footmen deep ,sample0021-1016
22,Said the light coloured to blue ,sample0022-1017
23,Said the lights dimmer in the office ,sample0023-1019
24,And you please said the bathroom lights to five ,sample0024-0102
25,Said the lights in the laundry room to level too ,sample0025-1020
26,Said the whites and the wanderer roun to seventy three ,sample0026-1021
27,Said the lights in toilets to read ,sample0027-1022
28,Said the lights to a higher intensity ,sample0028-1023
29,Said the whites to a higher intensity in the change in rome ,sample0029-1024
30,Said the lights to a higher intensity in the living room ,sample0030-1025
31,Said the lights to a less bright setting ,sample0031-1026
32,Said the lights to lower intensity ,sample0032-1027
33,Said the lights to green and the large reading room ,sample0033-1028
34,Said the lights to chant and the vestibule ,sample0034-1029
35,Can you please turn down the lights ,sample0035-0103
36,Said the lights to the on position ,sample0036-1030
37,Said the lights to twenty two in the office ,sample0037-1031
38,At the lights to twenty two per cent ,sample0038-1032
39,Said the lights to zero brightness ,sample0039-1033
40,Said the lights to zero brightness in the office ,sample0040-1034
41,Said the leaving rooms like two twenty ,sample0041-1035
42,Said the be sure lights to fife ,sample0042-1036
43,Sat the bastable lights to level thirty nine ,sample0043-1037
44,Shines enlighten her ,sample0044-1038
45,On some lightened her ,sample0045-1039
46,Can you put light on the back yard ,sample0046-0104
47,Shine some lights in the office ,sample0047-1040
48,Shine the lights at level globe ,sample0048-1041
49,You're down that gets bedroom lights ,sample0049-1042
50,Shut down the lights ,sample0050-1043
51,Shut off the lights at the entrance ,sample0051-1044
52,Shut off the lights in the garage ,sample0052-1045
53,Shut off the light in the loo ,sample0053-1046
54,Shut off the light these ,sample0054-1047
55,Shut off the lounge lights ,sample0055-1048
56,The lights down in the bathroom ,sample0056-1049
57,Then he put the last two twelve in the cubicle ,sample0057-0105
58,Said the lights down in the entrance ,sample0058-1050
59,Shut the lights off ,sample0059-1051
60,Sir in the office beset connected light bulbs to brightness of ten ,sample0060-1052
61,Sarah plants that the brightness of the connected lights too bold to fifty ,sample0061-1053
62,Censure it delights to thirty nine preside in the cubicle ,sample0062-1054
63,Stop landing the cubicle ,sample0063-1055
64,Stop the lights ,sample0064-1056
65,Stop the lights from shining in the bathroom ,sample0065-1057
66,Stop the knights from shining ambition ,sample0066-1058
67,Stop the lights to be on ,sample0067-1059
68,Can you raise the light in the toilets ,sample0068-0106
69,Stop the lights ,sample0069-1060
70,Switch all the lights to the opposition in the vestibule ,sample0070-1061
71,Sweet late galloped to blue ,sample0071-1062
72,Switch my lads on now ,sample0072-1063
73,Switch o'erflow exterior lighting ,sample0073-1064
74,Which of small meeting room lights ,sample0074-1065
75,For each of the good out light ,sample0075-1066
76,Switch off the lights ,sample0076-1067
77,Switch on the lines after relieved for the trip ,sample0077-1068
78,Switch off the shed lights ,sample0078-1069
79,To set a pink light in the basement ,sample0079-0107
80,Switch on my back yard lighting ,sample0080-1070
81,Switch on my cubicle late please ,sample0081-1071
82,Sweats on my garden lights ,sample0082-1072
83,Swished the lights in the kid's bedroom ,sample0083-1073
84,Switch on the lights ,sample0084-1074
85,Switch on the studio lay ,sample0085-1075
86,We can belong to the green ,sample0086-1076
87,Switched the light green ,sample0087-1077
88,Switched the light the blue in the bedroom ,sample0088-1078
89,Switched the lights to dark and the pantry ,sample0089-1079
90,Can you said the basement lights to five ,sample0090-0108
91,Switched their toilet light to read ,sample0091-1080
92,Switch to red lights ,sample0092-1081
93,Turn on the lights of kids bedroom ,sample0093-1082
94,The basement is too bright ,sample0094-1083
95,Base from blights must be switched on ,sample0095-1084
96,The bedroom light or two bright but with the brightness ,sample0096-1085
97,The bed reliance and in a brighter illumination ,sample0097-1086
98,The bedroom lights need to be bridle right now ,sample0098-1087
99,The brightness in the studio should be twenty two ,sample0099-1088
100,The brightness should be ten in a bathroom ,sample0100-1089
101,Could you set the bathroom brightness level to thirty nine ,sample0101-0109
102,The bald should now be so braid ,sample0102-1090
103,The cellar light should be turned on ,sample0103-1091
104,That ceylon needs to be breakdown ,sample0104-1092
105,La colour of the light should be pink and bug toilet room ,sample0105-1093
106,There cubicle lights she'll be pink ,sample0106-1094
107,The dining room is illuminated ,sample0107-1095
108,The carriage lights need to be britta ,sample0108-1096
109,The good out should have its lights don't not now ,sample0109-1097
110,The house were might needs to be changed to read ,sample0110-1098
111,Let kitchen like should be pink ,sample0111-1099
112,Just a bedroom i to ten per cent ,sample0112-0011
113,Can you said the bathroom life to seventy three ,sample0113-0110
114,The kitchen should be brighter please ,sample0114-1100
115,The large meeting room is too dark and must be made brighter ,sample0115-1101
116,The laundry room is too bright ,sample0116-1102
117,The laundry room lights should be green ,sample0117-1103
118,The light colour in the waiting room should be green ,sample0118-1104
119,The light mere apartment needs to be damned ,sample0119-1105
120,The light in the board room is to be at seventy three ,sample0120-1106
121,The light in the parking lot should be p ,sample0121-1107
122,The light in the shade neath the be off ,sample0122-1108
123,The lights need to be damned ,sample0123-1109
124,One will send the bag holes through validity ,sample0124-0111
125,The light needs to be dimmed ,sample0125-1110
126,Delights are too bright and i wanted dimmed ,sample0126-1111
127,The lights in the scylla need to be turned up ,sample0127-1112
128,Writes in the garage and give me switched off ,sample0128-1113
129,Dilate indicate spectral marked took dog ,sample0129-1114
130,The lights in the living room needs very blue ,sample0130-1115
131,The lights in the living room should be on twenty two ,sample0131-1116
132,The light should be on please ,sample0132-1117
133,This dounia lights need to be increased ,sample0133-1118
134,The toilet light should be blue ,sample0134-1119
135,When you said the likeness to enter do fought obeying bad ouse ,sample0135-0112
136,The toilets should have green lighting ,sample0136-1120
137,There is too much light in here ,sample0137-1121
138,There is too much light in the bedroom ,sample0138-1122
139,Throughout the house turned up the light power ,sample0139-1123
140,Come on down the brightness in the laundry room ,sample0140-1124
141,Don't or light laurel ,sample0141-1125
142,Colonel alleged down please ,sample0142-1126
143,Turned back yard lights ah ,sample0143-1127
144,Turn basement lights on please ,sample0144-1128
145,Turn basement late store bink ,sample0145-1129
146,Can you set the cellar room to seventy three ,sample0146-0113
147,Turn bedroom laid self ,sample0147-1130
148,Turn brightness down and bedroom ,sample0148-1131
149,Turned down bedroom lights ,sample0149-1132
150,Her now lighten attire apartment ,sample0150-1133
151,Turned down the basement lights ,sample0151-1134
152,Turn down the brightness ,sample0152-1135
153,Turned down the brightness for me ,sample0153-1136
154,Turned down the brightness in the lloyd re room ,sample0154-1137
155,Turned down the brightness of the lighting ,sample0155-1138
156,Dan don't oblateness please ,sample0156-1139
157,Can you set the kid's room might to five ,sample0157-0114
158,Turn down the light in the bedroom ,sample0158-1140
159,Turned down the light in the loo ,sample0159-1141
160,Turned down the light intensity in the dining room ,sample0160-1142
161,Turned down the light power all the way ,sample0161-1143
162,Turned down the light power in the pantry all the way ,sample0162-1144
163,Turn down the lighting indicated bedroom ,sample0163-1145
164,Turned down the lights ,sample0164-1146
165,Turned down the lights a bit ,sample0165-1147
166,Turn down the lights in here ,sample0166-1148
167,Turn down the lights in the basement ,sample0167-1149
168,Plenty sat the meeting room to be a pink you ,sample0168-0115
169,Turned down the lights in the bedroom ,sample0169-1150
170,Turned down the lights in the selah ,sample0170-1151
171,Turn down the lads and the changing room ,sample0171-1152
172,Turned down the lights in the kitchen ,sample0172-1153
173,Turn down the lights in the large meeting rome ,sample0173-1154
174,Turn down the lights in the toilet room ,sample0174-1155
175,It turned out of the lights in the waiting law ,sample0175-1156
176,Turn down the lights one knock ,sample0176-1157
177,Run down the laves please ,sample0177-1158
178,All along the lives ,sample0178-1159
179,Can you shut off the house lights ,sample0179-0116
180,Turn lad on in toilet room ,sample0180-1160
181,Dan lading added ,sample0181-1161
182,Done lights in the laundry room brighter ,sample0182-1162
183,Fernand my lads everywhere priest ,sample0183-1163
184,Turn lights on in the waiting room ,sample0184-1164
185,Turn lights on over the toilet ,sample0185-1165
186,Turn lights to green ,sample0186-1166
187,Turn living room lights to read ,sample0187-1167
188,Don't meeting room lights off ,sample0188-1168
189,Turn on my living room might please ,sample0189-1169
190,Can you said the lights off at the entrance ,sample0190-0117
191,Turn off all the lamps ,sample0191-1170
192,Turn off lights ,sample0192-1171
193,Turn off my bedroom white's please ,sample0193-1172
194,Don't oath binding lights ,sample0194-1173
195,Down off the bathroom late ,sample0195-1174
196,Dan after salade plates ,sample0196-1175
197,Turn off the light power ,sample0197-1176
198,Turn off the lighting ,sample0198-1177
199,Turn off the lights ,sample0199-1178
200,Turn off the lights ,sample0200-1179
201,Can you stop the lighting ,sample0201-0118
202,Turn off the lights up for thirty p m ,sample0202-1180
203,Turn off the lights for me ,sample0203-1181
204,Though not the knights or the leading them ,sample0204-1182
205,Turn off the lights in five minutes ,sample0205-1183
206,Turn off the lights in the basement ,sample0206-1184
207,Turn off the lights in the bathroom ,sample0207-1185
208,Turn off the lights in the bedroom ,sample0208-1186
209,Turn off the lights in the bedroom ,sample0209-1187
210,Turn off the light in the tired flag ,sample0210-1188
211,Don't off night endangered ,sample0211-1189
212,Can you switch on my apartment lights ,sample0212-0119
213,Turn off the lights in the kitchen ,sample0213-1190
214,Turn off the lights the living room ,sample0214-1191
215,Turn up the lights in the toilets ,sample0215-1192
216,Though one of the light in this room ,sample0216-1193
217,Turn off the lights now ,sample0217-1194
218,Ternaux flights to the basement ,sample0218-1195
219,Turn off the lance to the toilets ,sample0219-1196
220,Turn awful lounge light ,sample0220-1197
221,None of the bordeu lights ,sample0221-1198
222,Turn off the twilights ,sample0222-1199
223,Adjust the brightness in the lute fifty ,sample0223-0012
224,Then he switched the lights on for my entire house ,sample0224-0120
225,Turn on all the lights in the entire house ,sample0225-1200
226,Turn on bedroom lights ,sample0226-1201
227,Turn on garage lights ,sample0227-1202
228,Turn on lights above the toilet ,sample0228-1203
229,Fernand lights in the back yard ,sample0229-1204
230,Turn on lights in the cellar ,sample0230-1205
231,Don't on giving little nights ,sample0231-1206
232,Turn on my lights now ,sample0232-1207
233,Turn on my petiole lights please ,sample0233-1208
234,Turn on red lights ,sample0234-1209
235,Can use with the lights to local at a good eating bliss ,sample0235-0121
236,Turn on the bathroom lights ,sample0236-1210
237,Turn on the bedroom lights ,sample0237-1211
238,Turn on the changing room lights ,sample0238-1212
239,Fernande entrance likes ,sample0239-1213
240,Turn on the laundry grim lady ,sample0240-1214
241,Turn on the lights ,sample0241-1215
242,And on the lights above the toilet ,sample0242-1216
243,Turn enlightened bathroom ,sample0243-1217
244,And on the lights in the bedroom ,sample0244-1218
245,Turn on the lights in the changing room ,sample0245-1219
246,Then you'll done adorned the light ,sample0246-0122
247,Her light in the entrance ,sample0247-1220
248,Turn on the lights in the kid's room ,sample0248-1221
249,Turn on the lights in the laundry room ,sample0249-1222
250,Turn on the lights in the waiting room ,sample0250-1223
251,Turned the light please ,sample0251-1224
252,Turn on the lakes ,sample0252-1225
253,Turn on the office lighting ,sample0253-1226
254,Turn on the office lights ,sample0254-1227
255,Turn on the pantry like ,sample0255-1228
256,Turn to spite lighted the room ,sample0256-1229
257,Can you turn off the cellar lights ,sample0257-0123
258,Turn at all lights ,sample0258-1230
259,Turn out the cellar lights ,sample0259-1231
260,Tom parking light setting to awe ,sample0260-1232
261,Turn studio lights on ,sample0261-1233
262,Turn the backyard lights pink ,sample0262-1234
263,Turn the basement lion to see to it in ,sample0263-1235
264,Tell your basement lights down ,sample0264-1236
265,Turned the bedroom lights oh ,sample0265-1237
266,During the bedroom light he seventy three ,sample0266-1238
267,Turn the bedroom light son ,sample0267-1239
268,Here you turn out the light in the toilet ,sample0268-0124
269,Turn the bedroom to twenty ,sample0269-1240
270,Dan debate nest dome ,sample0270-1241
271,Turn the brightness down in the living room ,sample0271-1242
272,Turn the brightness down on the toilet room ,sample0272-1243
273,Turned the brightness in the flat to too ,sample0273-1244
274,Throwing the brightness to local twelve ,sample0274-1245
275,Turned the brightness to thirty nine per cent ,sample0275-1246
276,Turned the brightness up in the basement ,sample0276-1247
277,Turned the bold brightness down ,sample0277-1248
278,Turn the bulbs on brighter everywhere ,sample0278-1249
279,You told afore this ,sample0279-0125
280,Turn the sala alliance to twelve per cent ,sample0280-1250
281,Tanta sal alliance to fifty per cent ,sample0281-1251
282,Third the church roulades hall ,sample0282-1252
283,Turned the changing room lights to temper said ,sample0283-1253
284,Turn the cubicle lights to level ten ,sample0284-1254
285,Turned the entrance lights on ,sample0285-1255
286,Turned the entrance by its on ,sample0286-1256
287,During the flat like the thrall ,sample0287-1257
288,Don't the flagged room off ,sample0288-1258
289,Turn the garden light up a notch ,sample0289-1259
290,Getting brought up the lights ordered ordeal ,sample0290-0126
291,Turn the kid's bedroom light read ,sample0291-1260
292,Turn the kitchen lights green ,sample0292-1261
293,Don the kitchen lights on bridle ,sample0293-1262
294,Turn the large meeting room grain ,sample0294-1263
295,Dawn the laundry room light two twenty two ,sample0295-1264
296,Though in the light and density to level thirty nine ,sample0296-1265
297,Turned the late on ,sample0297-1266
298,Turned the light on in the bedroom ,sample0298-1267
299,Turn the lad's intensity to twenty two per cent ,sample0299-1268
300,Turned the light blue ,sample0300-1269
301,Then he turned off the lights in the cellar ,sample0301-0127
302,Turn the lights down in the back yard ,sample0302-1270
303,Turn the lights down in the dining room ,sample0303-1271
304,Turn lights down in the living room ,sample0304-1272
305,Then the ladies green ,sample0305-1273
306,Don't the lights in the garden off ,sample0306-1274
307,Turned and lights in the large muniment peeg ,sample0307-1275
308,That in the lights in the waiting room two five ,sample0308-1276
309,Turned the light in the waiting room to thirty nine ,sample0309-1277
310,Turn the lights off ,sample0310-1278
311,Turn the lights off and the basement ,sample0311-1279
312,Here you turn out the lights in the parting room ,sample0312-0128
313,Turned the lights up in the dining room ,sample0313-1280
314,Turn the lights the off in the dining room ,sample0314-1281
315,Turn the lights off in the wanderer room ,sample0315-1282
316,Turned the lights off in the office ,sample0316-1283
317,Turn lights often shed ,sample0317-1284
318,Turn the lad's off in the toilet ,sample0318-1285
319,Then the lights off no ,sample0319-1286
320,Turn the lights off ,sample0320-1287
321,From the lights on ,sample0321-1288
322,Turned the light on above the toilet ,sample0322-1289
323,Can you turn off the lights please ,sample0323-0129
324,In the light on everywhere ,sample0324-1290
325,Colonel i don know department ,sample0325-1291
326,Colonel light on and the bedroom ,sample0326-1292
327,Turned the light run in and changing room ,sample0327-1293
328,Turned the light time in the kitchen ,sample0328-1294
329,Turned the light on in the meeting room ,sample0329-1295
330,Thar in the light son in the pantry ,sample0330-1296
331,Turned the lights on a small meeting room ,sample0331-1297
332,Turn the lights on in the studio ,sample0332-1298
333,Doin the light on now ,sample0333-1299
334,At just the brightness to level den ,sample0334-0013
335,Can you turn off the lights ,sample0335-0130
336,Turn the lights on pink ,sample0336-1300
337,Turned the lights on please ,sample0337-1301
338,During the nights on the kitchen ,sample0338-1302
339,Don't deny its on ,sample0339-1303
340,Turned the lights pink please ,sample0340-1304
341,Turn the lights red in the bedroom ,sample0341-1305
342,Turned the lights to a darker setting in the offices ,sample0342-1306
343,Turn the lights to hire setting ,sample0343-1307
344,Turned the lights to a lower setting ,sample0344-1308
345,Light still bu'n bow ,sample0345-1309
346,Can you turn on bathroom light ,sample0346-0131
347,Don't the lights up a notch in the salon ,sample0347-1311
348,Throwing the lights up a notch viz ,sample0348-1312
349,Turn the lights up in the entrance ,sample0349-1313
350,Tom the lights opened loo ,sample0350-1314
351,Turned the lights up in the studio ,sample0351-1315
352,Turned the lights up in the toilets ,sample0352-1316
353,Turn the living room lights up ,sample0353-1317
354,Turn to lounge lights read ,sample0354-1318
355,Turn thou patio light pink ,sample0355-1319
356,Can you down on the night ,sample0356-0132
357,Turn the studio lights on ,sample0357-1320
358,Turn the studio lights the thirty nine ,sample0358-1321
359,Turn the vestibule lights to too ,sample0359-1322
360,Turn the vestibule lights up ,sample0360-1323
361,Turn on the waiting room brightness to too ,sample0361-1324
362,It'll knights to seventy three ,sample0362-1325
363,Turned toilet room lights on ,sample0363-1326
364,Turn up the brightness ,sample0364-1327
365,Turn up the brightness and the changing room ,sample0365-1328
366,Turn up the lighting ,sample0366-1329
367,He turned to brighten astounded at the back yard ,sample0367-0133
368,Turn up the lights ,sample0368-1331
369,Turn out the lights in the selah ,sample0369-1332
370,Turn up the lion the kid's room ,sample0370-1333
371,Turn up the lights in the kitchen ,sample0371-1334
372,Turn of the lights in the pantry ,sample0372-1335
373,Turn up the lights in the archey ,sample0373-1336
374,Turn up the lights in the patio ,sample0374-1337
375,Dan of delight in dirt eyelids ,sample0375-1338
376,Carnac delights ,sample0376-1339
377,Then he turned the brightness to turn ,sample0377-0134
378,Turn up the lights ,sample0378-1340
379,Turn vestibule lighting on ,sample0379-1341
380,We have a large meeting realm i need some red lights in there ,sample0380-1342
381,We need the bulge stunned brighter in this room ,sample0381-1343
382,What do i need to do to get the dining room to fifty brightness ,sample0382-1344
383,Will you increased brightness please ,sample0383-1345
384,Will you make the entrance lights read for the afternoon ,sample0384-1346
385,Will you set the changing room two fifty brightness ,sample0385-1347
386,Won't you please turn down the brightness ,sample0386-1348
387,Would you please turn on the lights and my cubicle ,sample0387-1349
388,Can you tom broke the softened the bedroom ,sample0388-0135
389,What do you switch my kitchen leaden to arm ,sample0389-1350
390,What do you turn on my basement lights ,sample0390-1351
391,Would you turn on my basement lights ,sample0391-1352
392,A just brightness of lounge lights to a value of twenty two ,sample0392-1353
393,I'll lay itself ,sample0393-1354
394,All lights of please ,sample0394-1355
395,Basement light should be set a twelve ,sample0395-1356
396,They smelt lights should be turned on ,sample0396-1357
397,Bartram brightness told bondage do ,sample0397-1358
398,But the amiss do donec increase the brightness ,sample0398-1359
399,Can you done though ceylon laid down ,sample0399-0136
400,Bathroom lights off ,sample0400-1360
401,That broom brightness to to please ,sample0401-1361
402,Get home like down ,sample0402-1362
403,Boardroom is dark please turn on lots ,sample0403-1363
404,Bright light and kitchen ,sample0404-1364
405,Brightened up the cubicle ,sample0405-1365
406,Bring up the lights ,sample0406-1366
407,Can you give me some light please ,sample0407-1367
408,Can you give me some light please in the kitchen ,sample0408-1368
409,Can you give me some lights ,sample0409-1369
410,Could you turn to cubicle light twenty two ,sample0410-0137
411,Can you increase the brightness ,sample0411-1370
412,Can you increase the brightness and the laundry room ,sample0412-1371
413,Can you interest the brightness of the entire house ,sample0413-1372
414,Can you make the bedroom a little darker if possible ,sample0414-1373
415,Can you make the light go blue ,sample0415-1374
416,And you please turn out the light ,sample0416-1375
417,Penny turned down the lights in her ,sample0417-1376
418,Can you colonel of the summer life ,sample0418-1377
419,Can you trail of the house light ,sample0419-1378
420,The corner of the kid's bedroom light ,sample0420-1379
421,Can you turned the lights down one notch ,sample0421-0138
422,Can you dan the lights doe ,sample0422-1380
423,To endure light stooping color ,sample0423-1381
424,Change and set back god late to brightness had enough blood ,sample0424-1382
425,Jane to bedroom lighting two pink ,sample0425-1383
426,Chained braden without fillet tinder dialect to don deep but assent ,sample0426-1384
427,Changed their colour about their mites to peep ,sample0427-1385
428,Do you into the lot of get his laid stooping ,sample0428-1386
429,Changed lamp to pink ,sample0429-1387
430,Change listening to pink ,sample0430-1388
431,Changed lights to blue ,sample0431-1389
432,Then he turned the light sah ,sample0432-0139
433,Change lights the pink ,sample0433-1390
434,Seeing the again is laid slipping ,sample0434-1391
435,Change delights to pink ,sample0435-1392
436,Changed the bachelor liked to think ,sample0436-1393
437,Painted the borachio likes to green ,sample0437-1394
438,Jean spooning ,sample0438-1395
439,Changing when lights off please ,sample0439-1396
440,Close our lets him that could swarm ,sample0440-1397
441,Create more than bedroom turn lights the red ,sample0441-1398
442,Cut off the lotzen risked view ,sample0442-1399
443,Adjust the brightness to seventy three ,sample0443-0014
444,She didn't doll of the lad and lighting two glinted ,sample0444-0140
445,Dark in the light in the toilet ,sample0445-1400
446,Decrees brightness in cellar ,sample0446-1401
447,Dickory's brightness and the basement ,sample0447-1402
448,Douglas greatness of bathroom lights ,sample0448-1403
449,Increase brightness bees ,sample0449-1404
450,The gray slights and laundry roams through all the way off ,sample0450-1405
451,Decrease the light in the small meeting room ,sample0451-1406
452,Damn the basement ,sample0452-1407
453,Then the bedroom might ,sample0453-1408
454,Dimmed the board room ,sample0454-1409
455,Changed all the lights to fifty ,sample0455-0141
456,Dimmed the gates bedroom lights ,sample0456-1410
457,Dim the lights in the cubicle ,sample0457-1411
458,Dim the lights in the garden ,sample0458-1412
459,Dining room light at thirty nine ,sample0459-1413
460,Dining room lights at twenty two per cent ,sample0460-1414
461,Dining room lights off please ,sample0461-1415
462,Dining room needs to be at twelve per cent ,sample0462-1416
463,Not waste the lights decrease it please ,sample0463-1417
464,Double the brightness ,sample0464-1418
465,Entrance light level to ten ,sample0465-1419
466,Changed back yard lightning drooping things ,sample0466-0142
467,And to inflate two pink police ,sample0467-1420
468,Entrance should be let at intensity too ,sample0468-1421
469,Garage lights to read please ,sample0469-1422
470,Yet the dirt ,sample0470-1423
471,Get the lights on mouthpiece ,sample0471-1424
472,Every lights of the kitchen ,sample0472-1425
473,Green as what i would like to the lights to be right now ,sample0473-1426
474,Green lights in the leaving robe ,sample0474-1427
475,Green lights on in living room ,sample0475-1428
476,If it be less bright ,sample0476-1429
477,Chains child's bedroom to have red lights ,sample0477-0143
478,And it may turn down the lane ,sample0478-1430
479,Help me and on the late in the said lot ,sample0479-1431
480,Hey brighten the bedroom ,sample0480-1432
481,I cannot stand darkness turn at the brightness now ,sample0481-1433
482,I need light ,sample0482-1434
483,I need like thine into kendrew ,sample0483-1435
484,Meagre brighten up the meeting room ,sample0484-1436
485,Why mong the lot of meeting one will be loo ,sample0485-1437
486,I want to done the lids ,sample0486-1438
487,I want you to make the light the monarch ,sample0487-1439
488,Jane declared looping ,sample0488-0144
489,I would like the bess you will get some lightning ,sample0489-1440
490,Illuminates cellar ,sample0490-1441
491,Illuminated the kid's room ,sample0491-1442
492,In my kids bedroom changed the brightness to fifty ,sample0492-1443
493,In my kids room turn the lights off ,sample0493-1444
494,In the back yard the lights need to be bink ,sample0494-1445
495,Increased brightness in that long ,sample0495-1446
496,Increase brightness in the studio ,sample0496-1447
497,Increase the brightness of lights ,sample0497-1448
498,Great floating in the garage ,sample0498-1449
499,Changed kids room light to pink ,sample0499-0145
500,Increase the brightness ,sample0500-1450
501,Increase the brightness ink yet ,sample0501-1451
502,And increase debate ness in debasement ,sample0502-1452
503,Increase the brightness of entrance ,sample0503-1453
504,Increase the brightness of the garage ,sample0504-1454
505,Increased upbraid not after late ,sample0505-1455
506,Increase the brightness on the patio ,sample0506-1456
507,He hit botha little down down the late ,sample0507-1457
508,What is it possible to done down the light in the living room ,sample0508-1458
509,It's dark and here ,sample0509-1459
510,Change the laundry run lights to five please ,sample0510-0146
511,Getting so dark and here can you put the lights up ,sample0511-1460
512,To pretty bright and here is there a possibility you can turn like them ,sample0512-1461
513,It's pretty dark hair why don't ye turned the lights up ,sample0513-1462
514,So dark and here is turned up the lights just a little ,sample0514-1463
515,Twig to brighten here turned on the brightened it please ,sample0515-1464
516,Kids bedroom light student please ,sample0516-1465
517,He can lights or no ,sample0517-1466
518,Catch and no more lights ,sample0518-1467
519,Landed on brightness foe ,sample0519-1468
520,Laundry room laid son ,sample0520-1469
521,Changed like color to peep ,sample0521-0147
522,Laundry room lights to too ,sample0522-1470
523,Let there be light ,sample0523-1471
524,Laid both brightness ten per cent ,sample0524-1472
525,Bite on in the bathroom ,sample0525-1473
526,Why it up garage ,sample0526-1474
527,Lighting up in the loo ,sample0527-1475
528,Lights are off ,sample0528-1476
529,Lights at seventy three and the bedroom please ,sample0529-1477
530,Lights need brightened in the lounge ,sample0530-1478
531,Lights off changing room ,sample0531-1479
532,Richly inlaid colour duping ,sample0532-0148
533,Why it's off for entire house ,sample0533-1480
534,Light fountain in the garden ,sample0534-1481
535,Like bout'n the toilets ,sample0535-1482
536,Lights on ,sample0536-1483
537,John please they turn please ,sample0537-1484
538,Why it should be sat at level twenty two ,sample0538-1485
539,Why it's way down and small meeting room ,sample0539-1486
540,Living room lay itself ,sample0540-1488
541,We'll living room lights on for now please ,sample0541-1489
542,Changed the light level to twenty in the bedroom ,sample0542-0149
543,Lounged lights on please ,sample0543-1490
544,Lord gootes bedroom lights ,sample0544-1491
545,Lower lights brightness ,sample0545-1492
546,Nobody brightness ,sample0546-1493
547,Nor would the brightness of light buns ,sample0547-1494
548,Laura lightened the children's playroom ,sample0548-1495
549,Mere glutted gave the signal lights made colored ,sample0549-1496
550,Make all lights pink and color ,sample0550-1497
551,Make it darker in here ,sample0551-1498
552,Naked darker and the waiting room ,sample0552-1499
553,I've just the brightness to twenty two ,sample0553-0015
554,Translates and grudge the local five ,sample0554-0150
555,Make it less bright in the bedroom ,sample0555-1500
556,Make it later in here ,sample0556-1501
557,Make explored the lounged light you spink ,sample0557-1502
558,Make lay tread ,sample0558-1503
559,Make the night blue ,sample0559-1504
560,Make the light chord to pink ,sample0560-1505
561,Make the light pink ,sample0561-1506
562,Make the light red ,sample0562-1507
563,Make the lights go off ,sample0563-1508
564,Make the lights red in the office ,sample0564-1509
565,Change lights to blue ,sample0565-0151
566,Make the lights to level thirty two ,sample0566-1510
567,Make the living room lighter ,sample0567-1511
568,Make the studio lights brighter ,sample0568-1512
